"id","indicator","biomass","logbiomass","composition","x","y","t2.loc","t2.scale","t1.loc","t1.scale","d.pz","t2.pz"
"167",1,46.4358155164253,3.83807104761118,0.00675675675675676,340000,1108000,5.01934202873684,2.03265351606446,1.10430120086764,4.6972162520254,0.544750379704039,0.852888265613241
"168",0,0,NA,0,348000,1108000,4.98830537279854,2.90369213771345,0.700104284814531,-16.5153582750207,0.787088131403519,0.875711777251007
"169",0,0,NA,0,356000,1108000,5.62063590592217,3.20270034187333,0.698592305286001,-16.554667082645,-1.09085422505634,0.394094017552274
"170",1,439.488459628166,6.08561145882409,0.027027027027027,364000,1108000,5.18927344754162,2.39844965062712,0.700950343565518,5.83992148369205,0.293682664260097,0.726580288014208
"171",0,0,NA,0,372000,1108000,5.76220221629807,3.2737531822911,0.69749426116875,-16.5832676624228,-1.50416735709678,0.280568860306219
"172",1,797.045017173696,6.68091116047451,0.0263157894736842,380000,1108000,5.33970445140666,3.20533939772148,1.37379811842429,5.85015635457653,-0.679717005096436,0.612707986959807
"173",1,118.096780090931,4.77150445857195,0.027027027027027,388000,1108000,5.07535636526582,1.16246776430809,1.33466418975151,5.92834038497837,-0.412180588866399,0.811509815132235
"174",0,0,NA,0,396000,1108000,4.7143532320952,2.78297499153635,0.704338858176538,-16.405716988873,0.0438379470432959,1.07421361019999
"175",0,0,NA,0,404000,1108000,4.02488387910473,2.50090520074557,0.708372173848668,-16.3018978640734,1.60552729369426,1.55485477006702
"176",0,0,NA,0,412000,1108000,3.83657991498132,2.42896595094812,0.71256685712946,-16.194550274031,1.49123944442703,1.68247952255377
"177",1,20.6575960938211,3.02808310134669,0.00666666666666667,420000,1108000,3.60849934788115,1.23461536052625,1.52531423881148,4.94528870740848,1.58576376336154,1.83543023225546
"178",1,24.3817497503496,3.19383489138548,0.00666666666666667,428000,1108000,3.47793678014202,0.879805476879763,1.50582698981973,5.01943741831459,1.47088503134614,1.92227069025759
"179",0,0,NA,0,436000,1108000,3.28526216942988,2.23002184555694,0.720994070845894,-15.9807835207921,1.75356307065889,2.04957977175377
"180",0,0,NA,0,444000,1108000,3.22129245412677,2.20801975583819,0.721319834503468,-15.9725703632109,1.814051844226,2.09164298666649
